t_ms,mode,theta,theta_dot,x,v,accel,energy,z1,z2,agc,loop_us
2496.0,0.0,3.1017,-0.093,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,569.0
2506.0,0.0,3.1002,-0.091,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2516.0,0.0,3.1017,-0.067,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
2527.0,0.0,3.1017,-0.048,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,568.0
2537.0,0.0,3.0971,-0.084,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
2547.0,0.0,3.0925,-0.181,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
2557.0,0.0,3.0848,-0.338,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
2568.0,0.0,3.0818,-0.402,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,570.0
2578.0,0.0,3.0818,-0.352,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2588.0,0.0,3.0848,-0.204,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
2598.0,0.0,3.0864,-0.054,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
2608.0,0.0,3.0864,0.005,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2619.0,0.0,3.0864,0.019,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,570.0
2629.0,0.0,3.0864,0.019,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,569.0
2639.0,0.0,3.0833,-0.032,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
2649.0,0.0,3.0787,-0.124,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
2659.0,0.0,3.0726,-0.268,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2669.0,0.0,3.0695,-0.329,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2680.0,0.0,3.071,-0.282,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,547.0
2690.0,0.0,3.071,-0.182,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2700.0,0.0,3.0726,-0.089,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
2710.0,0.0,3.0726,-0.026,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
2720.0,0.0,3.0741,0.025,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
2731.0,0.0,3.0726,0.01,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2741.0,0.0,3.0695,-0.063,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
2751.0,0.0,3.0664,-0.124,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
2761.0,0.0,3.0649,-0.159,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,569.0
2771.0,0.0,3.0649,-0.151,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
2782.0,0.0,3.0649,-0.104,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,547.0
2792.0,0.0,3.0649,-0.065,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
2802.0,0.0,3.0695,0.036,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2856.0,0.0,3.0695,-0.028,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,686.0
2866.0,0.0,3.0695,-0.066,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2876.0,0.0,3.0695,-0.071,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
2886.0,0.0,3.0695,-0.05,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
2896.0,0.0,3.071,0.001,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2907.0,0.0,3.0726,0.041,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,562.0
2917.0,0.0,3.0756,0.087,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2927.0,0.0,3.0787,0.181,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
2937.0,0.0,3.0802,0.208,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
2947.0,0.0,3.0787,0.137,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
2957.0,0.0,3.0741,0.016,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
2968.0,0.0,3.0741,-0.048,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
2978.0,0.0,3.0741,-0.07,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,569.0
2988.0,0.0,3.0741,-0.06,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
2998.0,0.0,3.0741,-0.042,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3008.0,0.0,3.0756,0.004,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3019.0,0.0,3.0787,0.059,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3029.0,0.0,3.0833,0.16,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3039.0,0.0,3.0833,0.185,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3049.0,0.0,3.0802,0.104,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,549.0
3059.0,0.0,3.0772,-0.034,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3069.0,0.0,3.0756,-0.092,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3080.0,0.0,3.0756,-0.103,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3090.0,0.0,3.0756,-0.082,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3100.0,0.0,3.0772,-0.044,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3110.0,0.0,3.0787,0.019,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,549.0
3120.0,0.0,3.0833,0.116,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3131.0,0.0,3.0848,0.178,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3141.0,0.0,3.0833,0.138,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3151.0,0.0,3.0756,-0.039,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3162.0,0.0,3.0756,-0.134,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3172.0,0.0,3.0756,-0.125,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3182.0,0.0,3.0772,-0.081,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,550.0
3192.0,0.0,3.0772,-0.026,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3203.0,0.0,3.0787,0.027,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,547.0
3213.0,0.0,3.0833,0.085,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
3223.0,0.0,3.0864,0.191,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3234.0,0.0,3.0864,0.195,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3244.0,0.0,3.0833,0.088,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3254.0,0.0,3.0756,-0.106,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3264.0,0.0,3.0756,-0.177,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,569.0
3274.0,0.0,3.0741,-0.182,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3285.0,0.0,3.0741,-0.152,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3295.0,0.0,3.0741,-0.104,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3305.0,0.0,3.0741,-0.062,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3315.0,0.0,3.0787,0.016,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3325.0,0.0,3.0818,0.12,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
3335.0,0.0,3.0802,0.138,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3346.0,0.0,3.0772,0.042,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3356.0,0.0,3.0756,-0.048,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3366.0,0.0,3.0741,-0.096,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3376.0,0.0,3.0741,-0.105,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3386.0,0.0,3.0726,-0.088,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,569.0
3396.0,0.0,3.0741,-0.043,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3407.0,0.0,3.0756,-0.007,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3417.0,0.0,3.0802,0.1,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3427.0,0.0,3.0818,0.17,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
3437.0,0.0,3.0787,0.119,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3447.0,0.0,3.0772,0.007,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3458.0,0.0,3.0756,-0.051,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3468.0,0.0,3.0756,-0.065,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,570.0
3478.0,0.0,3.0756,-0.063,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3488.0,0.0,3.0756,-0.039,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3498.0,0.0,3.0772,0.002,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3509.0,0.0,3.0818,0.08,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3519.0,0.0,3.0833,0.148,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3529.0,0.0,3.0802,0.114,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3539.0,0.0,3.0756,-0.018,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3549.0,0.0,3.0756,-0.09,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3560.0,0.0,3.0756,-0.086,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,547.0
3570.0,0.0,3.0756,-0.065,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3580.0,0.0,3.0772,-0.027,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3590.0,0.0,3.0787,0.022,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
3600.0,0.0,3.0802,0.066,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3610.0,0.0,3.0833,0.148,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3621.0,0.0,3.0818,0.127,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3631.0,0.0,3.0772,0.001,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3641.0,0.0,3.0756,-0.105,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3652.0,0.0,3.0756,-0.111,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3662.0,0.0,3.0756,-0.087,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3672.0,0.0,3.0756,-0.057,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3682.0,0.0,3.0772,-0.013,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,571.0
3692.0,0.0,3.0787,0.026,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3702.0,0.0,3.0818,0.117,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3712.0,0.0,3.0802,0.119,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3723.0,0.0,3.0772,0.012,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3733.0,0.0,3.0756,-0.078,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3743.0,0.0,3.0756,-0.101,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3753.0,0.0,3.0741,-0.108,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,549.0
3763.0,0.0,3.0741,-0.091,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3774.0,0.0,3.0741,-0.066,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3784.0,0.0,3.0741,-0.037,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3794.0,0.0,3.0787,0.065,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3804.0,0.0,3.0802,0.135,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,565.0
3814.0,0.0,3.0787,0.102,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3824.0,0.0,3.0772,0.037,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3835.0,0.0,3.0756,-0.017,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3845.0,0.0,3.0756,-0.053,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,566.0
3855.0,0.0,3.0756,-0.05,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3865.0,0.0,3.0756,-0.037,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3876.0,0.0,3.0756,-0.012,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3886.0,0.0,3.0802,0.049,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3896.0,0.0,3.0802,0.099,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3906.0,0.0,3.0787,0.061,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3916.0,0.0,3.0787,0.023,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3927.0,0.0,3.0772,-0.018,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3937.0,0.0,3.0787,-0.025,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3947.0,0.0,3.0787,-0.014,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3957.0,0.0,3.0787,0.01,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
3967.0,0.0,3.0802,0.044,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
3978.0,0.0,3.0818,0.076,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,554.0
3988.0,0.0,3.0802,0.071,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
3998.0,0.0,3.0772,-0.018,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
4008.0,0.0,3.0772,-0.065,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
4018.0,0.0,3.0772,-0.061,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4029.0,0.0,3.0772,-0.035,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,569.0
4039.0,0.0,3.0787,0.001,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4049.0,0.0,3.0787,0.013,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,565.0
4059.0,0.0,3.0802,0.047,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
4070.0,0.0,3.0818,0.1,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
4080.0,0.0,3.0787,0.05,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,572.0
4090.0,0.0,3.0787,-0.022,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4101.0,0.0,3.0787,-0.038,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,570.0
4111.0,0.0,3.0772,-0.063,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4121.0,0.0,3.0772,-0.058,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,569.0
4131.0,0.0,3.0772,-0.036,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,548.0
4141.0,0.0,3.0772,-0.005,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4151.0,0.0,3.0802,0.018,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
4162.0,0.0,3.0802,0.051,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,569.0
4172.0,0.0,3.0787,0.017,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4182.0,0.0,3.0772,-0.017,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,550.0
4192.0,0.0,3.0772,-0.043,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,548.0
4202.0,0.0,3.0772,-0.059,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4212.0,0.0,3.0772,-0.054,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4223.0,0.0,3.0756,-0.045,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,555.0
4233.0,0.0,3.0772,-0.02,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,576.0
4243.0,0.0,3.0787,0.018,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,550.0
4253.0,0.0,3.0787,0.039,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4263.0,0.0,3.0772,0.02,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4274.0,0.0,3.0772,0.002,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
4284.0,0.0,3.0756,-0.028,0.0,0.0,0.0,-1.0,0.0,0.0,104.0,575.0
