seq,t_us,dt_us,raw,ticks,theta,omega,agc,status,i2c_errors
0.0,303430002.0,2000.0,2596.0,0.0,0.0,-94.98409,84.0,103.0,0.0
1.0,303432009.0,2007.0,2596.0,0.0,0.0,-83.586,-1.0,-1.0,0.0
2.0,303434009.0,2000.0,2596.0,0.0,0.0,-73.55568,-1.0,-1.0,0.0
3.0,303436013.0,2004.0,2596.0,0.0,0.0,-64.729,-1.0,-1.0,0.0
4.0,303438016.0,2003.0,2596.0,0.0,0.0,-56.96152,-1.0,-1.0,0.0
5.0,303440020.0,2004.0,2596.0,0.0,0.0,-50.12614,-1.0,-1.0,0.0
6.0,303442020.0,2000.0,2596.0,0.0,0.0,-44.111,-1.0,-1.0,0.0
7.0,303444020.0,2000.0,2596.0,0.0,0.0,-38.81768,-1.0,-1.0,0.0
8.0,303446020.0,2000.0,2596.0,0.0,0.0,-34.15956,-1.0,-1.0,0.0
9.0,303448020.0,2000.0,2596.0,0.0,0.0,-30.06041,-1.0,-1.0,0.0
10.0,303450020.0,2000.0,2596.0,0.0,0.0,-26.45316,-1.0,-1.0,0.0
11.0,303452020.0,2000.0,2596.0,0.0,0.0,-23.27878,-1.0,-1.0,0.0
12.0,303454023.0,2003.0,2597.0,1.0,0.001534,-20.39343,-1.0,-1.0,0.0
13.0,303456027.0,2004.0,2596.0,0.0,0.0,-18.03807,-1.0,-1.0,0.0
14.0,303458031.0,2004.0,2596.0,0.0,0.0,-15.8735,-1.0,-1.0,0.0
15.0,303460031.0,2000.0,2597.0,1.0,0.001534,-13.87664,-1.0,-1.0,0.0
16.0,303462031.0,2000.0,2597.0,1.0,0.001534,-12.21145,-1.0,-1.0,0.0
17.0,303464031.0,2000.0,2597.0,1.0,0.001534,-10.74607,-1.0,-1.0,0.0
18.0,303466035.0,2004.0,2597.0,1.0,0.001534,-9.45654,-1.0,-1.0,0.0
19.0,303468035.0,2000.0,2597.0,1.0,0.001534,-8.32176,-1.0,-1.0,0.0
20.0,303470039.0,2004.0,2597.0,1.0,0.001534,-7.32315,-1.0,-1.0,0.0
21.0,303472046.0,2007.0,2597.0,1.0,0.001534,-6.44437,-1.0,-1.0,0.0
22.0,303474046.0,2000.0,2597.0,1.0,0.001534,-5.67105,-1.0,-1.0,0.0
23.0,303476050.0,2004.0,2597.0,1.0,0.001534,-4.99052,-1.0,-1.0,0.0
24.0,303478050.0,2000.0,2597.0,1.0,0.001534,-4.39166,-1.0,-1.0,0.0
25.0,303480050.0,2000.0,2597.0,1.0,0.001534,-3.86466,84.0,103.0,0.0
26.0,303482054.0,2004.0,2597.0,1.0,0.001534,-3.4009,-1.0,-1.0,0.0
27.0,303484057.0,2003.0,2597.0,1.0,0.001534,-2.99279,-1.0,-1.0,0.0
28.0,303486058.0,2001.0,2597.0,1.0,0.001534,-2.63366,-1.0,-1.0,0.0
29.0,303488066.0,2008.0,2597.0,1.0,0.001534,-2.31762,-1.0,-1.0,0.0
30.0,303490067.0,2001.0,2597.0,1.0,0.001534,-2.0395,-1.0,-1.0,0.0
31.0,303492067.0,2000.0,2597.0,1.0,0.001534,-1.79476,-1.0,-1.0,0.0
32.0,303494067.0,2000.0,2597.0,1.0,0.001534,-1.57939,-1.0,-1.0,0.0
33.0,303496074.0,2007.0,2597.0,1.0,0.001534,-1.38986,-1.0,-1.0,0.0
34.0,303498074.0,2000.0,2597.0,1.0,0.001534,-1.22308,-1.0,-1.0,0.0
35.0,303500074.0,2000.0,2597.0,1.0,0.001534,-1.07631,-1.0,-1.0,0.0
36.0,303502074.0,2000.0,2597.0,1.0,0.001534,-0.94715,-1.0,-1.0,0.0
37.0,303504074.0,2000.0,2597.0,1.0,0.001534,-0.8335,-1.0,-1.0,0.0
38.0,303506077.0,2003.0,2597.0,1.0,0.001534,-0.73348,-1.0,-1.0,0.0
39.0,303508078.0,2001.0,2597.0,1.0,0.001534,-0.64546,-1.0,-1.0,0.0
40.0,303510078.0,2000.0,2597.0,1.0,0.001534,-0.568,-1.0,-1.0,0.0
41.0,303512078.0,2000.0,2597.0,1.0,0.001534,-0.49984,-1.0,-1.0,0.0
