seq,t_us,dt_us,raw,ticks,theta,omega,agc,status,i2c_errors
0.0,242044035.0,2000.0,1564.0,0.0,0.0,-14.91029,72.0,103.0,0.0
1.0,242046035.0,2000.0,1564.0,0.0,0.0,-13.12106,-1.0,-1.0,0.0
2.0,242048038.0,2003.0,1564.0,0.0,0.0,-11.54653,-1.0,-1.0,0.0
3.0,242050038.0,2000.0,1564.0,0.0,0.0,-10.16095,-1.0,-1.0,0.0
4.0,242052042.0,2004.0,1564.0,0.0,0.0,-8.94163,-1.0,-1.0,0.0
5.0,242054046.0,2004.0,1564.0,0.0,0.0,-7.86864,-1.0,-1.0,0.0
6.0,242056049.0,2003.0,1564.0,0.0,0.0,-6.9244,-1.0,-1.0,0.0
7.0,242058054.0,2005.0,1564.0,0.0,0.0,-6.09347,-1.0,-1.0,0.0
8.0,242060054.0,2000.0,1564.0,0.0,0.0,-5.36226,-1.0,-1.0,0.0
9.0,242062062.0,2008.0,1564.0,0.0,0.0,-4.71879,-1.0,-1.0,0.0
10.0,242064067.0,2005.0,1564.0,0.0,0.0,-4.15253,-1.0,-1.0,0.0
11.0,242066070.0,2003.0,1564.0,0.0,0.0,-3.65423,-1.0,-1.0,0.0
12.0,242068070.0,2000.0,1564.0,0.0,0.0,-3.21572,-1.0,-1.0,0.0
13.0,242070070.0,2000.0,1564.0,0.0,0.0,-2.82983,-1.0,-1.0,0.0
14.0,242072070.0,2000.0,1564.0,0.0,0.0,-2.49025,-1.0,-1.0,0.0
15.0,242074070.0,2000.0,1564.0,0.0,0.0,-2.19142,-1.0,-1.0,0.0
16.0,242076070.0,2000.0,1564.0,0.0,0.0,-1.92845,-1.0,-1.0,0.0
17.0,242078071.0,2001.0,1564.0,0.0,0.0,-1.69704,-1.0,-1.0,0.0
18.0,242080078.0,2007.0,1564.0,0.0,0.0,-1.49339,-1.0,-1.0,0.0
19.0,242082078.0,2000.0,1564.0,0.0,0.0,-1.31419,-1.0,-1.0,0.0
20.0,242084078.0,2000.0,1564.0,0.0,0.0,-1.15648,-1.0,-1.0,0.0
21.0,242086078.0,2000.0,1564.0,0.0,0.0,-1.01771,-1.0,-1.0,0.0
22.0,242088078.0,2000.0,1564.0,0.0,0.0,-0.89558,-1.0,-1.0,0.0
23.0,242090081.0,2003.0,1564.0,0.0,0.0,-0.78811,-1.0,-1.0,0.0
24.0,242092081.0,2000.0,1564.0,0.0,0.0,-0.69354,-1.0,-1.0,0.0
25.0,242094085.0,2004.0,1564.0,0.0,0.0,-0.61031,72.0,103.0,0.0
26.0,242096089.0,2004.0,1564.0,0.0,0.0,-0.53708,-1.0,-1.0,0.0
27.0,242098093.0,2004.0,1564.0,0.0,0.0,-0.47263,-1.0,-1.0,0.0
28.0,242100096.0,2003.0,1564.0,0.0,0.0,-0.41591,-1.0,-1.0,0.0
29.0,242102100.0,2004.0,1564.0,0.0,0.0,-0.366,-1.0,-1.0,0.0
30.0,242104104.0,2004.0,1564.0,0.0,0.0,-0.32208,-1.0,-1.0,0.0
31.0,242106107.0,2003.0,1564.0,0.0,0.0,-0.28343,-1.0,-1.0,0.0
32.0,242108108.0,2001.0,1564.0,0.0,0.0,-0.24942,-1.0,-1.0,0.0
33.0,242110108.0,2000.0,1564.0,0.0,0.0,-0.21949,-1.0,-1.0,0.0
34.0,242112108.0,2000.0,1564.0,0.0,0.0,-0.19315,-1.0,-1.0,0.0
35.0,242114111.0,2003.0,1564.0,0.0,0.0,-0.16997,-1.0,-1.0,0.0
36.0,242116112.0,2001.0,1564.0,0.0,0.0,-0.14958,-1.0,-1.0,0.0
37.0,242118119.0,2007.0,1564.0,0.0,0.0,-0.13163,-1.0,-1.0,0.0
38.0,242120119.0,2000.0,1564.0,0.0,0.0,-0.11583,-1.0,-1.0,0.0
39.0,242122122.0,2003.0,1564.0,0.0,0.0,-0.10193,-1.0,-1.0,0.0
40.0,242124122.0,2000.0,1564.0,0.0,0.0,-0.0897,-1.0,-1.0,0.0
41.0,242126126.0,2004.0,1564.0,0.0,0.0,-0.07894,-1.0,-1.0,0.0
42.0,242128130.0,2004.0,1564.0,0.0,0.0,-0.06946,-1.0,-1.0,0.0
43.0,242130130.0,2000.0,1564.0,0.0,0.0,-0.06113,-1.0,-1.0,0.0
44.0,242132134.0,2004.0,1564.0,0.0,0.0,-0.05379,-1.0,-1.0,0.0
45.0,242134137.0,2003.0,1564.0,0.0,0.0,-0.04734,-1.0,-1.0,0.0
46.0,242136137.0,2000.0,1564.0,0.0,0.0,-0.04166,-1.0,-1.0,0.0
47.0,242138141.0,2004.0,1564.0,0.0,0.0,-0.03666,-1.0,-1.0,0.0
48.0,242140145.0,2004.0,1564.0,0.0,0.0,-0.03226,-1.0,-1.0,0.0
49.0,242142145.0,2000.0,1564.0,0.0,0.0,-0.02839,-1.0,-1.0,0.0
50.0,242144151.0,2006.0,1564.0,0.0,0.0,-0.02498,72.0,103.0,0.0
51.0,242146152.0,2001.0,1564.0,0.0,0.0,-0.02198,-1.0,-1.0,0.0
52.0,242148156.0,2004.0,1564.0,0.0,0.0,-0.01935,-1.0,-1.0,0.0
53.0,242150160.0,2004.0,1564.0,0.0,0.0,-0.01702,-1.0,-1.0,0.0
54.0,242152167.0,2007.0,1564.0,0.0,0.0,-0.01498,-1.0,-1.0,0.0
55.0,242154171.0,2004.0,1564.0,0.0,0.0,-0.01318,-1.0,-1.0,0.0
56.0,242156174.0,2003.0,1564.0,0.0,0.0,-0.0116,-1.0,-1.0,0.0
57.0,242158178.0,2004.0,1564.0,0.0,0.0,-0.01021,-1.0,-1.0,0.0
58.0,242160182.0,2004.0,1564.0,0.0,0.0,-0.00898,-1.0,-1.0,0.0
59.0,242162182.0,2000.0,1564.0,0.0,0.0,-0.00791,-1.0,-1.0,0.0
60.0,242164185.0,2003.0,1564.0,0.0,0.0,-0.00696,-1.0,-1.0,0.0
61.0,242166185.0,2000.0,1564.0,0.0,0.0,-0.00612,-1.0,-1.0,0.0
62.0,242168186.0,2001.0,1564.0,0.0,0.0,-0.00539,-1.0,-1.0,0.0
63.0,242170186.0,2000.0,1564.0,0.0,0.0,-0.00474,-1.0,-1.0,0.0
64.0,242172189.0,2003.0,1564.0,0.0,0.0,-0.00417,-1.0,-1.0,0.0
65.0,242174189.0,2000.0,1564.0,0.0,0.0,-0.00367,-1.0,-1.0,0.0
66.0,242176190.0,2001.0,1564.0,0.0,0.0,-0.00323,-1.0,-1.0,0.0
67.0,242178197.0,2007.0,1564.0,0.0,0.0,-0.00284,-1.0,-1.0,0.0
68.0,242180197.0,2000.0,1564.0,0.0,0.0,-0.0025,-1.0,-1.0,0.0
69.0,242182197.0,2000.0,1564.0,0.0,0.0,-0.0022,-1.0,-1.0,0.0
70.0,242184197.0,2000.0,1564.0,0.0,0.0,-0.00194,-1.0,-1.0,0.0
71.0,242186200.0,2003.0,1564.0,0.0,0.0,-0.00171,-1.0,-1.0,0.0
72.0,242188200.0,2000.0,1564.0,0.0,0.0,-0.0015,-1.0,-1.0,0.0
73.0,242190200.0,2000.0,1564.0,0.0,0.0,-0.00132,-1.0,-1.0,0.0
74.0,242192200.0,2000.0,1564.0,0.0,0.0,-0.00116,-1.0,-1.0,0.0
75.0,242194208.0,2008.0,1564.0,0.0,0.0,-0.00102,72.0,103.0,0.0
76.0,242196208.0,2000.0,1564.0,0.0,0.0,-0.0009,-1.0,-1.0,0.0
77.0,242198212.0,2004.0,1564.0,0.0,0.0,-0.00079,-1.0,-1.0,0.0
78.0,242200212.0,2000.0,1564.0,0.0,0.0,-0.0007,-1.0,-1.0,0.0
79.0,242202212.0,2000.0,1564.0,0.0,0.0,-0.00061,-1.0,-1.0,0.0
80.0,242204212.0,2000.0,1564.0,0.0,0.0,-0.00054,-1.0,-1.0,0.0
81.0,242206215.0,2003.0,1564.0,0.0,0.0,-0.00047,-1.0,-1.0,0.0
82.0,242208216.0,2001.0,1564.0,0.0,0.0,-0.00042,-1.0,-1.0,0.0
83.0,242210219.0,2003.0,1564.0,0.0,0.0,-0.00037,-1.0,-1.0,0.0
84.0,242212223.0,2004.0,1564.0,0.0,0.0,-0.00032,-1.0,-1.0,0.0
85.0,242214223.0,2000.0,1564.0,0.0,0.0,-0.00028,-1.0,-1.0,0.0
86.0,242216223.0,2000.0,1564.0,0.0,0.0,-0.00025,-1.0,-1.0,0.0
87.0,242218227.0,2004.0,1564.0,0.0,0.0,-0.00022,-1.0,-1.0,0.0
88.0,242220227.0,2000.0,1564.0,0.0,0.0,-0.00019,-1.0,-1.0,0.0
89.0,242222227.0,2000.0,1564.0,0.0,0.0,-0.00017,-1.0,-1.0,0.0
90.0,242224227.0,2000.0,1564.0,0.0,0.0,-0.00015,-1.0,-1.0,0.0
91.0,242226234.0,2007.0,1564.0,0.0,0.0,-0.00013,-1.0,-1.0,0.0
92.0,242228234.0,2000.0,1564.0,0.0,0.0,-0.00012,-1.0,-1.0,0.0
93.0,242230234.0,2000.0,1564.0,0.0,0.0,-0.0001,-1.0,-1.0,0.0
94.0,242232234.0,2000.0,1564.0,0.0,0.0,-9e-05,-1.0,-1.0,0.0
95.0,242234234.0,2000.0,1564.0,0.0,0.0,-8e-05,-1.0,-1.0,0.0
96.0,242236234.0,2000.0,1564.0,0.0,0.0,-7e-05,-1.0,-1.0,0.0
97.0,242238234.0,2000.0,1564.0,0.0,0.0,-6e-05,-1.0,-1.0,0.0
98.0,242240234.0,2000.0,1564.0,0.0,0.0,-5e-05,-1.0,-1.0,0.0
99.0,242242234.0,2000.0,1564.0,0.0,0.0,-5e-05,-1.0,-1.0,0.0
100.0,242244234.0,2000.0,1564.0,0.0,0.0,-4e-05,72.0,103.0,0.0
101.0,242246238.0,2004.0,1564.0,0.0,0.0,-4e-05,-1.0,-1.0,0.0
102.0,242248241.0,2003.0,1564.0,0.0,0.0,-3e-05,-1.0,-1.0,0.0
103.0,242250242.0,2001.0,1564.0,0.0,0.0,-3e-05,-1.0,-1.0,0.0
104.0,242252245.0,2003.0,1564.0,0.0,0.0,-3e-05,-1.0,-1.0,0.0
105.0,242254245.0,2000.0,1564.0,0.0,0.0,-2e-05,-1.0,-1.0,0.0
106.0,242256245.0,2000.0,1564.0,0.0,0.0,-2e-05,-1.0,-1.0,0.0
107.0,242258245.0,2000.0,1564.0,0.0,0.0,-2e-05,-1.0,-1.0,0.0
108.0,242260246.0,2001.0,1564.0,0.0,0.0,-2e-05,-1.0,-1.0,0.0
109.0,242262246.0,2000.0,1564.0,0.0,0.0,-1e-05,-1.0,-1.0,0.0
110.0,242264253.0,2007.0,1564.0,0.0,0.0,-1e-05,-1.0,-1.0,0.0
111.0,242266253.0,2000.0,1564.0,0.0,0.0,-1e-05,-1.0,-1.0,0.0
112.0,242268253.0,2000.0,1564.0,0.0,0.0,-1e-05,-1.0,-1.0,0.0
113.0,242270253.0,2000.0,1564.0,0.0,0.0,-1e-05,-1.0,-1.0,0.0
114.0,242272253.0,2000.0,1564.0,0.0,0.0,-1e-05,-1.0,-1.0,0.0
115.0,242274253.0,2000.0,1564.0,0.0,0.0,-1e-05,-1.0,-1.0,0.0
116.0,242276253.0,2000.0,1564.0,0.0,0.0,-1e-05,-1.0,-1.0,0.0
117.0,242278253.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
118.0,242280253.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
119.0,242282253.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
120.0,242284253.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
121.0,242286253.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
122.0,242288253.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
123.0,242290253.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
124.0,242292253.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
125.0,242294253.0,2000.0,1564.0,0.0,0.0,-0.0,72.0,103.0,0.0
126.0,242296256.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
127.0,242298260.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
128.0,242300260.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
129.0,242302260.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
130.0,242304260.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
131.0,242306260.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
132.0,242308260.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
133.0,242310264.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
134.0,242312268.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
135.0,242314271.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
136.0,242316275.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
137.0,242318279.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
138.0,242320283.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
139.0,242322289.0,2006.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
140.0,242324293.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
141.0,242326297.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
142.0,242328301.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
143.0,242330305.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
144.0,242332308.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
145.0,242334312.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
146.0,242336316.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
147.0,242338320.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
148.0,242340323.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
149.0,242342327.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
150.0,242344327.0,2000.0,1564.0,0.0,0.0,-0.0,72.0,103.0,0.0
151.0,242346330.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
152.0,242348334.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
153.0,242350334.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
154.0,242352334.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
155.0,242354338.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
156.0,242356342.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
157.0,242358349.0,2007.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
158.0,242360349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
159.0,242362349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
160.0,242364349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
161.0,242366349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
162.0,242368349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
163.0,242370349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
164.0,242372349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
165.0,242374349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
166.0,242376349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
167.0,242378349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
168.0,242380349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
169.0,242382349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
170.0,242384349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
171.0,242386349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
172.0,242388349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
173.0,242390349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
174.0,242392349.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
175.0,242394349.0,2000.0,1564.0,0.0,0.0,-0.0,72.0,103.0,0.0
176.0,242396352.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
177.0,242398357.0,2005.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
178.0,242400357.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
179.0,242402364.0,2007.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
180.0,242404364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
181.0,242406364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
182.0,242408364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
183.0,242410364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
184.0,242412364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
185.0,242414364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
186.0,242416364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
187.0,242418364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
188.0,242420364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
189.0,242422364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
190.0,242424364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
191.0,242426364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
192.0,242428364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
193.0,242430364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
194.0,242432364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
195.0,242434364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
196.0,242436364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
197.0,242438364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
198.0,242440364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
199.0,242442364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
200.0,242444364.0,2000.0,1564.0,0.0,0.0,-0.0,72.0,103.0,0.0
201.0,242446364.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
202.0,242448368.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
203.0,242450368.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
204.0,242452368.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
205.0,242454368.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
206.0,242456375.0,2007.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
207.0,242458379.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
208.0,242460379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
209.0,242462379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
210.0,242464379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
211.0,242466379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
212.0,242468379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
213.0,242470379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
214.0,242472379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
215.0,242474379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
216.0,242476379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
217.0,242478379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
218.0,242480379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
219.0,242482379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
220.0,242484379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
221.0,242486379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
222.0,242488379.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
223.0,242490382.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
224.0,242492382.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
225.0,242494382.0,2000.0,1564.0,0.0,0.0,-0.0,72.0,103.0,0.0
226.0,242496382.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
227.0,242498386.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
228.0,242500387.0,2001.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
229.0,242502387.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
230.0,242504389.0,2002.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
231.0,242506390.0,2001.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
232.0,242508390.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
233.0,242510390.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
234.0,242512390.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
235.0,242514390.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
236.0,242516390.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
237.0,242518393.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
238.0,242520393.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
239.0,242522394.0,2001.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
240.0,242524394.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
241.0,242526394.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
242.0,242528394.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
243.0,242530397.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
244.0,242532401.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
245.0,242534401.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
246.0,242536401.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
247.0,242538402.0,2001.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
248.0,242540408.0,2006.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
249.0,242542409.0,2001.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
250.0,242544412.0,2003.0,1564.0,0.0,0.0,-0.0,72.0,103.0,0.0
251.0,242546418.0,2006.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
252.0,242548423.0,2005.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
253.0,242550423.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
254.0,242552424.0,2001.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
255.0,242554427.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
256.0,242556427.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
257.0,242558427.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
258.0,242560427.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
259.0,242562427.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
260.0,242564427.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
261.0,242566430.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
262.0,242568431.0,2001.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
263.0,242570431.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
264.0,242572431.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
265.0,242574431.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
266.0,242576431.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
267.0,242578434.0,2003.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
268.0,242580438.0,2004.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
269.0,242582438.0,2000.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
270.0,242584439.0,2001.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
271.0,242586446.0,2007.0,1564.0,0.0,0.0,-0.0,-1.0,-1.0,0.0
