t,theta,omega,thetaHat,x,pulseX,v,actualV,a,actualA,request,jerk,hz,mode,braking
0,3.141592653589793,0,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.01,3.141592653589793,7.232460831382478e-17,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.02,3.141592653589793,1.4435885435392558e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.03,3.141592653589793,2.1610390384040747e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.04,3.141592653589793,2.875609178133482e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.05,3.141592653589793,3.5873105265158724e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.06,3.141592653589793,4.296154600914392e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.07,3.141592653589793,5.002152872453324e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.08,3.141592653589793,5.705316766203719e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.09,3.141592653589793,6.405657661368292e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.1,3.141592653589793,7.103186891465571e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.11,3.141592653589793,7.797915744513296e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.12,3.141592653589793,8.489855463211099e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.13,3.141592653589793,9.179017245122448e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.14,3.141592653589793,9.865412242855841e-16,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.15,3.141592653589793,1.05490515642453e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.16,3.141592653589793,1.1229946272530123e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.17,3.141592653589793,1.190810738653392e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.18,3.141592653589793,1.2583545880842923e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.19,3.141592653589793,1.3256272685983601e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.2,3.141592653589793,1.3926298688599522e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.21,3.141592653589793,1.4593634731627562e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.22,3.141592653589793,1.5258291614473349e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.23,3.141592653589793,1.5920280093186036e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.24,3.141592653589793,1.6579610880632369e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.25,3.141592653589793,1.7236294646670047e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.26,3.141592653589793,1.7890342018320398e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.27,3.141592653589793,1.854176357994034e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.28,3.141592653589793,1.919056987339369e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.29,3.141592653589793,1.9836771398221734e-15,3.141592653589793,0,0,0,0,0,0,0,0,0,swing,false
0.3,-3.1415925781971255,0.00015077448390987992,3.141592653589793,1.2500000000000001e-8,0,0.000025,0.000025,0.025,0.025,1,25,0.6666666675,swing,false
0.31,-3.1415545584373294,0.009931419622733135,3.141592653589793,0.000006325,0,0.00165,0.00165,0.27499999999999997,0.2750000000000001,1,24.999999999999993,44.000000055,swing,false
0.32,-3.141343872195488,0.034657017404887865,3.141592653589793,0.000041387499999999996,0.000037499999953125,0.0057750000000000015,0.0057750000000000015,0.5250000000000001,0.5250000000000002,1,25.00000000000002,154.00000019250004,swing,false
0.33,-3.140812027171406,0.0741216120462307,3.141592653589793,0.00013020000000000002,0.00011249999985937499,0.012400000000000003,0.012400000000000003,0.7750000000000004,0.7749999999999996,1,25.00000000000002,330.6666670800001,swing,false
0.34,-3.13981309852106,0.1278822683085194,-3.1403228678409056,0.0002977500000000001,0.000299999999625,0.02150000000000001,0.02150000000000001,1,1.0000000000000009,1,0,573.3333340500003,swing,false
0.35000000000000003,-3.13824229939049,0.1860835497102483,-3.1390030764777155,0.0005627500000000002,0.000562499999296875,0.031500000000000014,0.031500000000000014,1,0.9999999999999974,1,0,840.0000010500004,swing,false
0.36,-3.1360958700895587,0.24295236423687389,-3.137350991258752,0.0009277500000000004,0.0009374999988281244,0.04150000000000002,0.04150000000000002,1,1.0000000000000009,1,0,1106.6666680500007,swing,false
0.37,-3.133388797391487,0.29815795762903274,-3.1346100352357626,0.0013927500000000008,0.0013874999982656237,0.05150000000000003,0.05150000000000003,1,1.0000000000000009,1,0,1373.3333350500009,swing,false
0.38,-3.1301314779325398,0.3549225988088676,-3.131477794711635,0.001959051488453319,0.001987499997515623,0.06208787211332952,0.06208787211332952,1.1609840141661854,1.1609840141661858,1.216936336218508,24.99999999999991,1655.676591758383,swing,false
0.39,-3.1262482367962745,0.4237841017679711,-3.12813131322388,0.002642791910294923,0.002662499996671872,0.07507271225499138,0.07507271225499138,1.4109840141661845,1.410984014166186,1.461194897619471,24.99999999999991,2001.9389959688606,swing,false
0.4,-3.1216146777517766,0.5049032298618896,-3.1235200087492796,0.0034688807335531463,0.0034874999956406205,0.09055755239665321,0.09055755239665321,1.6609840141661836,1.6609840141661862,1.8401535507203677,24.99999999999991,2414.8680669293376,swing,false
0.41000000000000003,-3.116110833180331,0.5977463299735827,-3.118198028285604,0.004462317958227988,0.004499999994374996,0.10854239253831505,0.10854239253831505,1.9109840141661827,1.9109840141661865,2.2179419657032433,24.99999999999991,2894.4638046398145,swing,false
0.42,-3.1096224258660574,0.701709371959963,-3.112031671176201,0.005648103584319448,0.005699999992874997,0.12902723267997684,0.12902723267997684,2.160984014166182,2.1609840141661727,2.59923088577359,24.99999999999991,3440.7262091002904,swing,false
0.43,-3.1020415608254357,0.816120338041286,-3.104383056578996,0.0070512376118275245,0.007124999991093746,0.15201207282163867,0.15201207282163867,2.410984014166181,2.410984014166173,3,24.99999999999991,4053.6552803107675,swing,false
0.44,-3.0932673933184827,0.9402415865811913,-3.09620273525257,0.008696720040752223,0.008774999989031244,0.17749691296330047,0.17749691296330047,2.6609840141661802,2.660984014166173,3,24.99999999999991,4733.251018271243,swing,false
0.45,-3.0832067735918907,1.0732721337361228,-3.0863563720192793,0.010609550871093536,0.010687499986640621,0.20548175310496228,0.20548175310496228,2.9109840141661794,2.9109840141661736,3,24.99999999999991,5479.5134229817195,swing,false
0.46,-3.0717833288815406,1.2107315315812508,-3.0755460332788513,0.012813323494504395,0.012899999983875001,0.23536470514746083,0.23536470514746083,3,3.0000000000000027,3,0,6276.392145111113,swing,false
