seq,t_us,dt_us,raw,ticks,theta,omega,status,agc,magnitude,i2c_errors,missed_slots,tx_drops,read_us,valid,continuous,cart_steps,x_command_m,v_command_m_s,a_command_m_s2,motion_id,moving,enabled,homed,host_monotonic_ns
0,1105319339,0,2030,2030,3.1139810,0.00000,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693492218583
1,1105320339,1000,2029,2029,3.1124470,-0.06015,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693493186041
2,1105321339,1000,2029,2029,3.1124470,-0.05779,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693494219083
3,1105322339,1000,2029,2029,3.1124470,-0.05552,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693495241416
4,1105323339,1000,2028,2028,3.1109130,-0.11349,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693496279458
5,1105324339,1000,2028,2028,3.1109130,-0.10904,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693497288791
6,1105325339,1000,2028,2028,3.1109130,-0.10477,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693498235666
7,1105326339,1000,2027,2027,3.1093791,-0.16081,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693499491166
8,1105327339,1000,2027,2027,3.1093791,-0.15450,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693500594000
9,1105328339,1000,2027,2027,3.1093791,-0.14845,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693501549333
10,1105329339,1000,2026,2026,3.1078451,-0.20277,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693502359291
11,1105330339,1000,2026,2026,3.1078451,-0.19482,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693503374416
12,1105331339,1000,2026,2026,3.1078451,-0.18718,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693504292750
13,1105332339,1000,2026,2026,3.1078451,-0.17984,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693505244916
14,1105333339,1000,2025,2025,3.1063111,-0.23294,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693506204000
15,1105334339,1000,2025,2025,3.1063111,-0.22381,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693507161250
16,1105335339,1000,2024,2024,3.1047771,-0.27518,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693508224208
17,1105336339,1000,2024,2024,3.1047771,-0.26439,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693509373458
18,1105337339,1000,2024,2024,3.1047771,-0.25402,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693510261333
19,1105338339,1000,2023,2023,3.1032431,-0.30421,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693511237083
20,1105339339,1000,2023,2023,3.1032431,-0.29228,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693512227125
21,1105340339,1000,2022,2022,3.1017091,-0.34097,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693513226750
22,1105341339,1000,2022,2022,3.1017091,-0.32760,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693514203000
23,1105342339,1000,2022,2022,3.1017091,-0.31475,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693515159000
24,1105343339,1000,2021,2021,3.1001751,-0.36256,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693516222083
25,1105344339,1000,2021,2021,3.1001751,-0.34834,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693517150750
26,1105345339,1000,2021,2021,3.1001751,-0.33469,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693518157333
27,1105346339,1000,2020,2020,3.0986414,-0.38171,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693519187916
28,1105347339,1000,2020,2020,3.0986414,-0.36674,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693520160375
29,1105348339,1000,2019,2019,3.0971074,-0.41251,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693520982416
30,1105349339,1000,2019,2019,3.0971074,-0.39634,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693521934250
31,1105350339,1000,2018,2018,3.0955734,-0.44094,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693522952875
32,1105351339,1000,2018,2018,3.0955734,-0.42366,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693523938458
33,1105352339,1000,2017,2017,3.0940394,-0.46719,55,128,1771,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693525381875
34,1105353339,1000,2017,2017,3.0940394,-0.44887,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693525997958
35,1105354339,1000,2017,2017,3.0940394,-0.43127,-1,-1,-1,0,0,0,135,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693527187291
36,1105355339,1000,2016,2016,3.0925055,-0.47451,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693528157375
37,1105356339,1000,2016,2016,3.0925055,-0.45590,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693529228750
38,1105357339,1000,2015,2015,3.0909715,-0.49818,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693530156750
39,1105358339,1000,2015,2015,3.0909715,-0.47864,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693531177375
40,1105359339,1000,2015,2015,3.0909715,-0.45987,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693532143833
41,1105360339,1000,2014,2014,3.0894375,-0.50199,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693533175166
42,1105361339,1000,2014,2014,3.0894375,-0.48231,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693534132541
43,1105362339,1000,2013,2013,3.0879035,-0.52354,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693535180208
44,1105363339,1000,2013,2013,3.0879035,-0.50302,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693536147041
45,1105364339,1000,2013,2013,3.0879035,-0.48329,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693537127208
46,1105365339,1000,2013,2013,3.0879035,-0.46434,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693538242041
47,1105366339,1000,2013,2013,3.0879035,-0.44614,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693539227750
48,1105367339,1000,2012,2012,3.0863695,-0.48879,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693540246958
49,1105368339,1000,2012,2012,3.0863695,-0.46962,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693541219708
50,1105369339,1000,2012,2012,3.0863695,-0.45121,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693542230958
51,1105370339,1000,2012,2012,3.0863695,-0.43352,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693543243500
52,1105371339,1000,2012,2012,3.0863695,-0.41652,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693544217500
53,1105372339,1000,2011,2011,3.0848355,-0.46034,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693545243041
54,1105373339,1000,2012,2012,3.0863695,-0.38214,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693546234666
55,1105374339,1000,2011,2011,3.0848355,-0.42730,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693547236083
56,1105375339,1000,2011,2011,3.0848355,-0.41055,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693548225458
57,1105376339,1000,2011,2011,3.0848355,-0.39445,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693549232750
58,1105377339,1000,2011,2011,3.0848355,-0.37898,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693550225500
59,1105378339,1000,2011,2011,3.0848355,-0.36412,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693551239625
60,1105379339,1000,2011,2011,3.0848355,-0.34985,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693552242791
61,1105380339,1000,2011,2011,3.0848355,-0.33613,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693553229291
62,1105381339,1000,2011,2011,3.0848355,-0.32295,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693554238750
63,1105382339,1000,2010,2010,3.0833015,-0.37043,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693555291166
64,1105383339,1000,2010,2010,3.0833015,-0.35591,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693556239041
65,1105384339,1000,2010,2010,3.0833015,-0.34195,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693557235333
66,1105385339,1000,2010,2010,3.0833015,-0.32854,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693558223250
67,1105386339,1000,2010,2010,3.0833015,-0.31566,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693559212583
68,1105387339,1000,2010,2010,3.0833015,-0.30328,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693560217958
69,1105388339,1000,2009,2009,3.0817676,-0.35154,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693561244583
70,1105389339,1000,2009,2009,3.0817676,-0.33776,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693562220375
71,1105390339,1000,2009,2009,3.0817676,-0.32451,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693563258000
72,1105391339,1000,2009,2009,3.0817676,-0.31179,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693564275333
73,1105392339,1000,2009,2009,3.0817676,-0.29956,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693565260125
74,1105393339,1000,2008,2008,3.0802336,-0.34797,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693566293291
75,1105394339,1000,2008,2008,3.0802336,-0.33432,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693567220750
76,1105395339,1000,2008,2008,3.0802336,-0.32121,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0,755693568272583
